Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0mquGj7pObIqOJC02e51mZ,"Dolores","Crosby Classics (Songs From His Famous Radio Broadcasts)","Bing Crosby,John Scott Trotter & His Orchestra,The Charioteers,The Rhythmaires",2008-01-01,148826,4,false,sauerro,2021-11-16T17:26:58Z,"christmas,doo-wop,rockabilly","Varese",0.369,0.302,1,-9.94,1,0.0337,0.975,0.633,0.851,0.34,128.086,3
spotify:track:2cucTInwMLL6b3AfePYPjH,"G'bye Now","1941","Ray Noble & His Orchestra,Lynn Lee and Lou",1994,172000,0,false,sauerro,2021-11-16T17:30:28Z,"big band","Circle",0.624,0.321,0,-11.729,0,0.0574,0.775,0.0218,0.0885,0.95,169.391,4
spotify:track:5j2X6FN7HYWvVpInvyYRxK,"Maria Elena","Hyggetimen Vol. 16 Zing Went The Strings Of My Heart","Wayne King",1962,150874,1,false,sauerro,2021-11-16T17:30:55Z,"big band","PopUp",0.404,0.164,0,-13.905,1,0.0389,0.975,0.0409,0.239,0.554,132.624,3
spotify:track:1P472hOPg3ciJ9MXvbTh7H,"The Hut-Sut Song (A Swedish Serenade)","Remember Pearl Harbor: Classic Songs Of World War II","Freddy Martin & His Orchestra",1990-01-01,170173,7,false,sauerro,2021-11-16T17:31:16Z,"big band,boogie-woogie,ragtime","RCA Victor",0.715,0.488,3,-10.453,1,0.0409,0.92,0.74,0.195,0.868,107.782,4
spotify:track:7ilZOJ0J2bJCkmVjSfBP6D,"Yours","Latin American Favorites","Jimmy Dorsey & His Orchestra,Helen O'Connell,Bob Eberly",2020-10-03,190998,4,false,sauerro,2021-11-16T17:31:30Z,"big band,swing music","Swank",0.38,0.279,7,-9.341,1,0.0338,0.899,0.000169,0.108,0.494,81.295,4
spotify:track:1v92J4gUEVDQ62PlY4z0qm,"I Don't Want To Set The World On Fire","National Treasure - The Ultimate Collection","Vera Lynn",2014-01-01,205973,20,false,sauerro,2021-11-16T17:34:21Z,"adult standards","Decca (UMO)",0.3,0.075,10,-14.534,1,0.0367,0.949,0,0.118,0.288,92.056,3
spotify:track:6stn05nD0piMHaaxPEI64d,"I Don't Want To Walk Without You - (from the film Sweater Girl)","Ultimate Big Band Collection: Harry James","Harry James,Helen Forrest,Harry James Orchestra,Glenn Osser",2011-03-01,172053,25,false,sauerro,2021-11-16T17:34:42Z,"big band,swing music,jazz,vocal jazz","Masterworks Jazz",0.229,0.148,7,-12.398,0,0.0331,0.986,0.01,0.0536,0.26,80.035,4
spotify:track:4aY2uTzfoftz93DSdJvINO,"Jersey Bounce","16 Most Requested Songs","Benny Goodman",1938,173000,25,false,sauerro,2021-11-16T17:35:04Z,"big band,swing music,jazz,ragtime","Legacy/Columbia",0.744,0.242,7,-14.103,0,0.0388,0.955,0.625,0.132,0.608,132.48,4
spotify:track:2yH6SQ70OdjDKrtxcunVZp,"Don't Sit Under The Apple Tree (With Anyone Else But Me)","The Essential Glenn Miller","Glenn Miller",1996,190160,42,false,sauerro,2021-11-16T19:07:56Z,"big band,swing music,jazz","RCA Victor/Legacy",0.575,0.326,7,-9.937,1,0.0598,0.921,0,0.499,0.864,180.214,3
spotify:track:1UhDW6mn0O6GSf2rZArXn5,"Who Wouldn't Love You","Kollege Of Musical Knowledge - December 11 1941","Kay Kyser",2006-12-01,161053,26,false,sauerro,2021-11-16T19:08:15Z,"big band,swing music","Soundcraft",0.855,0.132,3,-15.92,1,0.481,0.974,0.0543,0.211,0.685,114.645,4
spotify:track:13qjEqdOFR1as0SdVILxNV,"He Wears a Pair of Silver Wings - Remastered","The Legend of Kay Kyser (Remastered)","Kay Kyser",2019-11-08,193973,4,false,sauerro,2021-11-16T19:08:33Z,"big band,swing music","Master Tape Records",0.29,0.168,5,-11.334,1,0.0515,0.986,0.0342,0.155,0.214,79.482,3
spotify:track:65kQFyD0BaIHiikOOvkydU,"Serenade In Blue - Remastered 2002","The Essential Glenn Miller","Glenn Miller",1996,205626,22,false,sauerro,2021-11-16T19:08:52Z,"big band,swing music,jazz","RCA Victor/Legacy",0.374,0.101,10,-14.542,1,0.0299,0.963,0.000787,0.146,0.144,89.065,5
spotify:track:1IPyQZORgju86TX15dgvm7,"My Devotion","There! I've Sung It Again","Vaughn Monroe",1998,188000,0,false,sauerro,2021-11-16T19:09:37Z,"big band,adult standards","Memoir Records",0.364,0.0482,1,-22.129,1,0.0357,0.956,0.268,0.111,0.235,84.702,4
spotify:track:31g0jHwSxO2iuw3p07iZUC,"Praise The Lord And Pass The Ammunition","Best Of The Big Bands","Kay Kyser & His Orchestra",1990-06-19,151560,43,false,sauerro,2021-11-16T20:18:50Z,"big band","Columbia",0.61,0.294,7,-9.942,1,0.0373,0.912,0.000534,0.0973,0.788,130.73,4
spotify:track:2pt4jBFYqMNV78mPvNvSts,"Mr. Five By Five","Best Of The Vocal","Helen Forrest-Harry James",2009-09-21,197200,1,false,sauerro,2021-11-16T20:19:09Z,"","Storyville",0.622,0.374,7,-10.984,0,0.23,0.929,0.0645,0.113,0.481,114.581,4
spotify:track:5gX8LGNcOXHxSq2VQWBs1V,"When the Lights Go on Again (All Over the World)","Best of Vaughn Monroe","Vaughn Monroe",2010-12-28,180266,16,false,sauerro,2021-11-16T20:19:38Z,"big band,adult standards","X5 Music Group",0.302,0.256,1,-11.48,1,0.0313,0.784,0.0678,0.0983,0.302,85.439,4
spotify:track:5aK4MnOHmPsnVVzI24rDVt,"Brazil","Xavier Cugat","Xavier Cugat",2015-11-05,162480,10,false,sauerro,2021-11-16T20:19:56Z,"exotica,mambo,latin jazz,orchestra,cha cha cha,big band","Discos Coro",0.323,0.916,0,-3.485,0,0.0535,0.643,0.957,0.22,0.572,124.395,4
spotify:track:3aIhxOnM7I3l2HzGfaWTrz,"Velvet Moon","Harry James in Hi-Fi","Harry James",2016-05-14,220866,0,false,sauerro,2021-11-16T20:20:10Z,"big band,swing music,jazz","Digital Gramophone",0.13,0.29,1,-11.428,1,0.0323,0.9,0.941,0.174,0.201,76.856,4
spotify:track:1b9qxfnvXAX4HjMijGS1Fu,"Don't Get Around Much Anymore","The Anthology","The Ink Spots",1998-06-16,179693,37,false,sauerro,2021-11-16T20:20:30Z,"adult standards","Geffen",0.599,0.0581,0,-18.141,1,0.0349,0.988,0.361,0.114,0.408,101.904,4
spotify:track:7wqYKRqpgKYMNufTYimmS8,"As Time Goes By","Very Best Of","Rudy Vallee",2009-01-01,211226,11,false,sauerro,2021-11-16T20:20:50Z,"ragtime,big band","Brownbeats Records",0.556,0.111,1,-15.401,1,0.0626,0.992,0.00121,0.275,0.55,71.971,3
spotify:track:44rGe5iH2mHu8TsWXYPrIU,"Coming Home on a Wing and a Prayer","Harbour Lights","Anne Shelton",2021-01-11,166022,0,false,sauerro,2021-11-16T20:21:42Z,"big band","Classical Pages",0.647,0.202,3,-14.328,1,0.0498,0.957,0.00000179,0.209,0.688,105.444,4
spotify:track:05g6TK0Q6V7d6sb6IXpuGk,"It Can't Be Wrong (Rerecorded)","Dick Haymes - His Very Best (Rerecorded Version)","Dick Haymes",2008-04-01,234760,0,false,sauerro,2021-11-16T20:22:33Z,"big band,adult standards","K-Tel",0.308,0.174,0,-10.247,0,0.03,0.952,0.0000161,0.127,0.109,110.198,3
spotify:track:7kQkgdg6nDVEzeJptMVbGT,"You'll Never Know","Stardust","Dick Haymes",1936,165253,0,false,sauerro,2021-11-16T20:22:52Z,"big band,adult standards","Horgi Music Digital Productions",0.391,0.128,2,-15.22,1,0.038,0.994,0.153,0.0983,0.227,126.716,3
spotify:track:63V5GaXx28BQDWGpNuUOkd,"All or Nothing at All (with Harry James & His Orchestra)","The Essential Frank Sinatra","Frank Sinatra,Harry James",2010-10-26,177066,25,false,sauerro,2021-11-16T20:23:32Z,"christmas,big band,adult standards,swing music,vocal jazz,jazz","Columbia/Legacy",0.306,0.13,2,-14.604,0,0.0306,0.984,0.0142,0.269,0.243,84.631,4
spotify:track:6Drw4DDI9LZ1B3S9pohgm8,"People Will Say We're In Love - Single Version","My Favorite Broadway Songs","Bing Crosby",1999-01-01,177506,5,false,sauerro,2021-11-16T20:23:57Z,"christmas","Geffen",0.406,0.0575,9,-19.19,1,0.0358,0.983,0.000842,0.11,0.232,126.47,4
spotify:track:2MPnqX8NesacxELHh54cgw,"Shoo-Shoo Baby - 1943 Single Version","50th Anniversary Collection (Vol. 1)","The Andrews Sisters,Vic Schoen & His Orchestra",1987-01-01,173066,38,false,sauerro,2021-11-16T20:24:19Z,"christmas,big band,swing music","Geffen*",0.762,0.143,1,-12.106,1,0.175,0.965,0,0.0626,0.336,137.429,4
spotify:track:3jMP8VYsS7mt9ZeqLlnr3m,"Mairzy Doats","The Merry Macs Sing Mairzy Doats","The Merry Macs",2011-10-17,164600,31,false,sauerro,2021-11-16T20:24:36Z,"big band","Wnts",0.773,0.184,1,-12.288,1,0.0535,0.974,0,0.0762,0.679,140.634,4
spotify:track:2pHRmsE6kU26gGKZGPsGKe,"Holiday For Strings","The Cream Of Light Music Favourites","David Rose & His Orchestra",2005-09-20,150506,0,false,sauerro,2021-11-16T20:25:36Z,"","Memoir Records",0.459,0.247,10,-19.023,1,0.0388,0.984,0.907,0.103,0.613,91.095,4
spotify:track:1w1GY1bKDoSVH3GTYQDsxU,"San Fernando Valley - Single Version","Bing-His Legendary Years 1931-1957","Bing Crosby",1993-01-01,194800,11,false,sauerro,2021-11-16T20:25:55Z,"christmas","Geffen*",0.493,0.158,3,-15.37,1,0.0539,0.952,0.216,0.409,0.816,179.57,4
spotify:track:1UaIYN1oc3yROeJV1nVgCr,"Long Ago And Far Away","Little White Lies","Dick Haymes,Helen Forrest",2008,209197,0,false,sauerro,2021-11-16T20:26:17Z,"big band,adult standards,swing music,vocal jazz","Classic Records",0.23,0.168,1,-15.544,1,0.0437,0.991,0.151,0.0931,0.158,79.906,4
spotify:track:0Vk4lcBS4tBSN6JQzDLS7I,"Is You Is Or Is You Ain't (Ma' Baby) - Single Version","50th Anniversary Collection (Vol. 2)","The Andrews Sisters,Bing Crosby,Vic Schoen & His Orchestra",1990-02-03,181906,24,false,sauerro,2021-11-16T20:28:28Z,"christmas,big band,swing music","Geffen",0.53,0.326,10,-10.387,0,0.141,0.9,0,0.345,0.384,84.522,4
spotify:track:6tKwEX4XMj9lsYiADOwM9P,"The Trolley Song","What is This Thing Called Love?","The Pied Pipers",1942-06-20,178790,0,false,sauerro,2021-11-16T20:28:48Z,"big band","Legacy International",0.75,0.216,0,-9.151,1,0.0347,0.842,0,0.569,0.818,123.58,4
spotify:track:7nFIsRhhyB1RcCBaKD4LTT,"Ac-Cent-Tchu-Ate The Positive","Accentuate The Positive!","Johnny Mercer,The Pied Pipers,Paul Weston And His Orchestra",1957-01-01,168773,38,false,sauerro,2021-11-16T20:29:08Z,"big band,swing music,adult standards","CM BLUE NOTE (A92)",0.707,0.126,5,-17.975,1,0.0544,0.814,0,0.321,0.643,124.489,4
spotify:track:4PwHrs2lNr3Y2VrTLxE7SA,"Candy","Accentuate The Positive!","Johnny Mercer,Jo Stafford",1957-01-01,192293,31,false,sauerro,2021-11-16T20:29:28Z,"big band,swing music,adult standards","CM BLUE NOTE (A92)",0.403,0.0706,2,-18.533,0,0.0282,0.84,0,0.177,0.361,82.424,4
spotify:track:6X5VTo4rH1rAfxivxomvoQ,"There I've Said It Again","Racing With The Moon: An Anthology 1940-56","Vaughn Monroe",2008-08-11,189700,26,false,sauerro,2021-11-16T20:29:47Z,"big band,adult standards","Future Noise Music Ltd.",0.384,0.155,8,-14.165,1,0.0303,0.985,0.00329,0.145,0.22,72.899,4
spotify:track:3RBrHcj7J4UvY0ELwyqIWA,"Bell Bottom Trousers","Remember Pearl Harbor: Classic Songs Of World War II","Tony Pastor And His Orchestra",1990-01-01,181200,13,false,sauerro,2021-11-16T20:30:11Z,"big band,swing music","RCA Victor",0.511,0.419,5,-10.569,0,0.0675,0.829,0.0000492,0.094,0.905,174.078,4
spotify:track:1wMfJPViBRp7sKP2bE5NrA,"I'll Buy That Dream","Little White Lies","Dick Haymes,Helen Forrest",2008,182598,4,false,sauerro,2021-11-16T20:30:35Z,"big band,adult standards,swing music,vocal jazz","Classic Records",0.524,0.136,6,-10.377,1,0.0483,0.939,0.00000416,0.36,0.471,95.555,4
spotify:track:5iX7Vgzd7aHIq0Y0wvFOvK,"Oh What It Seemed To Be","The Columbia Years (1943-1952): The Complete Recordings: Volume 3","Frank Sinatra",1993,178760,19,false,sauerro,2021-11-16T20:31:21Z,"christmas,big band,adult standards,swing music,vocal jazz,jazz","Columbia/Legacy",0.331,0.0901,1,-18.921,1,0.0393,0.94,0,0.173,0.251,122.16,4
spotify:track:5WDlMTRBAcI91qJeOIqWEG,"The Gypsy - 78rpm Version","The Essential Dinah Shore","Dinah Shore",2014-04-18,177266,7,false,sauerro,2021-11-16T20:31:45Z,"big band,vocal jazz,adult standards","Columbia/Legacy",0.365,0.143,9,-14.636,1,0.0407,0.957,0.0011,0.126,0.231,80.105,4
spotify:track:6GxrtVeTZp6tJLQ7Ex8LhY,"South America Take It Away","Their Greatest Hits And Finest Performances","Bing Crosby,The Andrews Sisters,Vic Schoen & His Orchestra",1996-01-01,195133,12,false,sauerro,2021-11-16T20:32:04Z,"christmas,big band,swing music","Geffen",0.748,0.271,5,-14.875,0,0.189,0.88,0,0.0518,0.796,76.917,4
spotify:track:3DDofxbqYb0tFPFjqCRBgk,"Ole Buttermilk Sky - Remastered","The Jazz Craftsman (Remastered)","Hoagy Carmichael",2019-11-01,132613,0,false,sauerro,2021-11-16T20:32:28Z,"big band","Master Tape Records",0.649,0.224,2,-11.323,1,0.0552,0.953,0.0000102,0.383,0.799,85.46,4
spotify:track:0xAec6jyFhaGoFQwYxuffs,"Huggin' and Chalkin'","Piano Jazz Shindig Vol. 2","Hoagy Carmichael",2008-06-30,138480,0,false,sauerro,2021-11-16T20:33:06Z,"big band","Fantastic Voyage",0.704,0.0813,8,-18.077,1,0.328,0.981,0,0.0987,0.742,137.933,4
spotify:track:1eTc7gOLmsZr8JIWvlKPAC,"The Anniversary Song - Remastered","The Star (Remastered)","Al Jolson",2020-01-31,186061,0,false,sauerro,2021-11-16T20:33:28Z,"ragtime,big band","Master Tape Records",0.179,0.34,8,-12.455,0,0.0365,0.513,0.011,0.106,0.172,173.278,3
spotify:track:7qkVa3LZ5cU9S1eolNowML,"Linda","16 Most Requested Songs","Ray Noble & His Orchestra",1992-10-13,194893,5,false,sauerro,2021-11-16T20:33:50Z,"big band","Legacy/Columbia",0.591,0.164,5,-13.629,1,0.0789,0.898,0,0.15,0.511,100.211,4
spotify:track:6ROUS7aeVYWnATFVpREgTF,"Peg o' My Heart","El Sol: The Three Suns","Three Suns",2014-11-04,174040,0,false,sauerro,2021-11-16T20:34:13Z,"exotica","Shami Media Group 3",0.331,0.295,7,-8.33,0,0.0445,0.893,0.307,0.115,0.388,62.554,4
spotify:track:1MBtVG9uZ2ODiJanIqJi1i,"Temptation (Tim-Tayshun)","The Ultimate Capitol Collection","Jo Stafford,Red Ingle & Natural Seven",2007-01-01,162893,12,false,sauerro,2021-11-16T20:34:41Z,"adult standards","EMI Gold",0.858,0.48,10,-8.567,1,0.0629,0.639,0.00000158,0.031,0.965,114.321,4
spotify:track:2L5X7VrtJ3g61n69rAV1d5,"I Wonder Who's Kissing Her Now (with Lloyd Shaffer and his Orchestra)","The Essential Perry Como","Perry Como,Lloyd Shaffer and His Orchestra",2010-10-26,189560,21,false,sauerro,2021-11-16T20:35:01Z,"christmas,adult standards","RCA Records Label",0.198,0.0558,4,-19.442,1,0.039,0.99,0.205,0.372,0.158,68.759,3
spotify:track:4oyVWxLpGes0rzpPyeGmFK,"When You Were Sweet Sixteen","The Essential Perry Como","Perry Como",2010-10-26,189973,18,false,sauerro,2021-11-16T20:35:23Z,"christmas,adult standards","RCA Records Label",0.271,0.0692,10,-15.848,1,0.0324,0.99,0.00282,0.122,0.244,95.946,3
spotify:track:7Fdyd5D5BwqRKUQFT34LrE,"I Wish I Didn't Love You So","Time On My Hands","Vaughn Monroe",2000,168467,0,false,sauerro,2021-11-16T20:35:43Z,"big band,adult standards","Memoir Records",0.282,0.0896,10,-21.529,1,0.0333,0.987,0.892,0.116,0.272,90.419,3
spotify:track:3FnVMeJevgXr5EnDYT6tea,"Too Fat Polka","Their Greatest Hits And Finest Performances","The Andrews Sisters,Vic Schoen & His Orchestra",1996-01-01,147360,11,false,sauerro,2021-11-16T20:36:05Z,"christmas,big band,swing music","Geffen",0.807,0.224,10,-12.021,1,0.141,0.929,0,0.108,0.917,130.887,4
spotify:track:0rcHLnBQzzGrbt2cbbYZiO,"Golden Earrings - Remastered 1998","The Best Of Miss Peggy Lee","Peggy Lee",1998-01-01,181066,18,false,sauerro,2021-11-16T20:36:30Z,"vocal jazz,swing music,big band,jazz","Capitol Records",0.378,0.179,2,-14.591,1,0.0311,0.561,0.000914,0.118,0.459,177.137,4
spotify:track:5eKva6ek6QTxwtYAioGWqX,"Now Is The Hour (Maori Farewell Song) - Single Version","Bing-His Legendary Years 1931-1957","Bing Crosby",1993-01-01,189293,27,false,sauerro,2021-11-16T20:36:57Z,"christmas","Geffen*",0.198,0.0466,1,-21.224,1,0.0323,0.994,0.0409,0.0993,0.227,84.519,3
spotify:track:13J3nj3RP6YjcG6bgFD9gj,"You Can't Be True Dear","It Had to Be You","Ken Griffin",2013-02-12,157813,4,false,sauerro,2021-11-16T20:37:20Z,"","Vintage Music",0.239,0.293,0,-9.26,1,0.0346,0.806,0.955,0.378,0.44,104.71,4
spotify:track:7vK2ASjjmLysEqMfx5SYDN,"Woody Woodpecker - Remastered 2005","Greatest Hits","Mel Blanc,The Sportsmen",2008-01-01,139546,22,false,sauerro,2021-11-16T20:37:43Z,"rockabilly,big band","Capitol Records",0.696,0.485,5,-12.143,1,0.899,0.825,0.000545,0.517,0.709,139.576,3
spotify:track:0KCac2Oyqfi1kKyhrCJhPl,"It's Magic (with George Sirava and His Orchestra) - Version 1 - Take 6","Golden Girl (The Columbia Recordings 1944-1966)","Doris Day,George Sirava and His Orchestra",1945,208400,32,false,sauerro,2021-11-16T20:38:04Z,"adult standards,big band","Columbia/Legacy",0.355,0.0714,5,-15.69,1,0.0349,0.912,0.0000367,0.129,0.149,80.373,5
spotify:track:07PHx59vOGb1gdxcrDm1fT,"On a Slow Boat to China","The Best Of Kay Kyser and His Orchestra","Kay Kyser & His Orchestra",2000-05-09,199506,21,false,sauerro,2021-11-16T20:38:23Z,"big band","Columbia/Legacy",0.487,0.0515,5,-19.158,1,0.0523,0.866,0.000518,0.146,0.579,168.425,4
spotify:track:3QoVf2JyoUqTHxytN8heXs,"Far Away Places - Single Version","Bing-His Legendary Years 1931-1957","Bing Crosby",1993-01-01,180400,25,false,sauerro,2021-11-16T20:38:39Z,"christmas","Geffen*",0.333,0.0465,1,-20.769,1,0.0343,0.982,0.23,0.108,0.375,73.59,5
spotify:track:24rBEiRZ9ZBibBXdNlQxvO,"Forever And Ever","The Best Of Russ Morgan And His Orchestra - Music In The Morgan Manner","Russ Morgan and His Orchestra,The Skylarks",1987-01-01,171773,7,false,sauerro,2021-11-16T20:39:04Z,"big band,ethiopian jazz","Geffen*",0.196,0.29,2,-10.883,1,0.0295,0.438,0,0.369,0.508,157.915,3
spotify:track:6Ze4Hi1BhVfdEAgPxwrB5R,"Someday (You'll Want Me to Want You)","Best of Vaughn Monroe","Vaughn Monroe",2010-12-28,191133,9,false,sauerro,2021-11-16T20:41:33Z,"big band,adult standards","X5 Music Group",0.233,0.265,7,-11.109,1,0.0339,0.887,0.0356,0.139,0.432,111.223,4
spotify:track:4Dx7cPrQ65PhTmdmdmfLiu,"Slipping Around","16 Biggest Country Hits of The 40's","Jimmy Wakely",2009-07-03,113000,0,false,sauerro,2021-11-16T20:42:08Z,"traditional country","Gusto",0.654,0.236,9,-17.392,1,0.0396,0.91,0.612,0.108,0.736,139.565,4
spotify:track:5JfBJxARIfhyjXOaBwSt2t,"Mule Train","Hell Bent For Leather!","Frankie Laine",1961-03-20,151266,27,false,sauerro,2021-11-16T20:42:27Z,"adult standards","Columbia/Legacy",0.654,0.481,5,-13.324,1,0.189,0.846,0,0.149,0.688,148.561,4
spotify:track:28IBsttOK2aG9Cb4QtqhMr,"Dear Hearts And Gentle People","Bing-His Legendary Years 1931-1957","Bing Crosby",1993-01-01,161293,30,false,sauerro,2021-11-16T20:43:26Z,"christmas","Geffen*",0.768,0.288,2,-12.741,1,0.0397,0.91,0.00034,0.142,0.721,107.741,3
spotify:track:6LkJcX34c0lPCNfHXZiVVo,"There's No Tomorrow","Greatest Hits","Tony Martin",2001-07-30,195160,26,false,sauerro,2021-11-16T20:43:51Z,"motown","RCA Records Label",0.271,0.214,10,-10.171,1,0.0304,0.954,0.0278,0.437,0.196,93.787,4
spotify:track:6kVfwQOc2PjVPwbk0aEmN9,"Third Man Theme","Enjoy Yourself: The Hits Of Guy Lombardo","Guy Lombardo",1996-10-22,177333,31,false,sauerro,2021-11-16T20:44:11Z,"big band","Geffen",0.809,0.195,0,-10.808,1,0.0358,0.886,0.636,0.0849,0.536,115.59,4
spotify:track:5ZBd3OHxnWiYcIpWMINIQg,"Tzena Tzena Tzena","The Best Of The Decca Years","The Weavers,Gordon Jenkins & His Orchestra",1996-01-01,165906,5,false,sauerro,2021-11-16T20:44:25Z,"christmas","Geffen*",0.605,0.657,10,-8.13,1,0.0835,0.686,0.00000357,0.344,0.917,151.679,4
spotify:track:19vjeNqhgk0vhH5TuxDok9,"All My Love","The Patti Page Collection: The Mercury Years Vol. 1","Patti Page",1991-11-22,194333,9,false,sauerro,2021-11-16T20:44:41Z,"adult standards","Mercury Records",0.627,0.193,8,-14.935,1,0.0451,0.888,0.00000149,0.119,0.596,123.231,4
spotify:track:0KuKJOGwD0lqwHFcCw5859,"My Heart Cries For You","16 Most Requested Songs","Guy Mitchell",1991-09-03,166160,30,false,sauerro,2021-11-16T20:44:59Z,"","Legacy/Columbia",0.437,0.142,8,-13.524,1,0.0296,0.964,0.00000135,0.25,0.304,102.339,3
spotify:track:3Rd7lzhb3AtQPuQ4UZiSCc,"On Top Of Old Smoky","The Best Of The Decca Years","The Weavers,Terry Gilkyson & Chorus & Orchestra",1996-01-01,163266,17,false,sauerro,2021-11-16T20:45:14Z,"christmas","Geffen*",0.421,0.464,11,-9.033,1,0.0367,0.869,0,0.225,0.657,167.947,3
spotify:track:6SYQwsOxHW5uUYjUpOKtIC,"Jezebel","Frankie Laine's Greatest Hits","Frankie Laine",1958,190933,25,false,sauerro,2021-11-16T20:45:34Z,"adult standards","Columbia",0.504,0.265,5,-16.424,1,0.0344,0.835,0,0.604,0.393,136.721,4
spotify:track:01qevljnkZopuvffTsIfRr,"Shrimp Boats","The Ultimate","Jo Stafford",2002-01-01,184400,21,false,sauerro,2021-11-16T20:45:51Z,"adult standards","EMI Marketing",0.337,0.287,4,-12.385,1,0.0371,0.852,0,0.518,0.383,173.539,3
spotify:track:3Z0PGLxK7iNftaG0qlhW4V,"The Little White Cloud That Cried","16 Most Requested Songs","Johnnie Ray",1991-09-03,133933,28,false,sauerro,2021-11-16T20:46:09Z,"adult standards","Legacy/Columbia",0.46,0.0206,7,-19.235,1,0.0368,0.968,0.0000321,0.144,0.264,131.701,4
spotify:track:5DipLI9pNQu8Jwf26XFZQt,"Tell Me Why","The Four Aces' Greatest Hits","The Four Aces,Al Alberts",1993-09-28,190893,24,false,sauerro,2021-11-16T20:46:29Z,"doo-wop,adult standards","Geffen*",0.299,0.11,2,-13.201,0,0.0348,0.869,0,0.172,0.452,70.987,4
spotify:track:46SZJUs1Qnutjk3QlNcnKY,"KIss Of Fire","The Best Of Georgia Gibbs: The Mercury Years","Georgia Gibbs",1996-01-01,146626,34,false,sauerro,2021-11-16T20:47:44Z,"electro swing,swing music","Mercury Records",0.522,0.346,11,-11.458,0,0.0435,0.933,0,0.474,0.726,106.715,4
